Sample;Sex;Year;Pop
AT98_351;M;98;TEJ
AT98_352;M;98;TEJ
ATCB_99_33;M;99;CBD
ATCB_99_35;M;99;CBD
ATCB_99_49;M;99;CBD
ATCB_99_50;M;99;CBD
ATCB_99_52;M;99;CBD
ATCB_99_53;F;99;CBD
ATCB_99_55;M;99;CBD
ATCB_99_56;F;99;CBD
ATCB_99_57;M;99;CBD
ATCB_99_58;M;99;CBD
ATCB_99_59;F;99;CBD
ATCB_99_60;F;99;CBD
ATCB_99_61;M;99;CBD
ATCB_99_62;F;99;CBD
ATCB_99_63;M;99;CBD
ATCB_99_65;M;99;CBD
ATCB_99_67;M;99;CBD
ATCB_99_70;M;99;CBD
ATCB_99_71;F;99;CBD
ATCB_99_72;M;99;CBD
ATCB_99_74;M;99;CBD
ATCB_99_75;M;99;CBD
ATCB_99_77;M;99;CBD
ATCB_99_78;M;99;CBD
ATF_99_09;M;99;TEJ
T98_101;M;98;TEJ
T98_109;M;98;TEJ
T98_110;F;98;TEJ
T98_114;M;98;TEJ
T98_154;M;98;TEJ
T98_164;F;98;TEJ
T98_167;F;98;TEJ
T98_171;M;98;TEJ
T98_216;M;98;TEJ
T98_54;F;98;TEJ
T98_93;F;98;TEJ
T98_95;F;98;TEJ
T98_98;F;98;TEJ
T98_99;F;98;TEJ
T99_353;F;99;TEJ
T99_354;?;99;TEJ
T99_370;F;99;TEJ
T99_373;F;99;TEJ
TFT_99_22;F;99;TEJ
TFT_99_23;F;99;TEJ
TFT_99_54;F;99;TEJ
